age,annual_income,monthly_expenses,employment_status,contract_type,existing_debt,requested_amount,term_months,credit_score,num_dependents,has_property,previous_defaults,debt_to_income_ratio,loan_to_income_ratio,loan_approved,max_loan_amount
26,109394.55,2280.03,self_employed,permanent,22809.47,500000.0,12,438,3,0,0,0.2918,4.5706,1,30747.53
63,36405.11,1488.81,employed,permanent,12485.56,29242.48,36,629,0,1,0,0.5593,0.8033,1,6552.92
27,57348.01,2477.69,employed,permanent,6974.42,141787.93,36,432,1,1,0,0.5428,2.4724,0,2432.19
66,27982.96,754.31,self_employed,permanent,9075.34,59808.94,12,625,1,1,1,0.3883,2.1373,1,10127.26
54,55400.79,1945.34,employed,permanent,20194.95,145472.19,12,829,1,1,0,0.4943,2.6258,1,29916.43
33,44495.24,1042.86,employed,temporary,1298.51,246835.04,60,320,4,1,0,0.2871,5.5474,0,6196.82
36,48872.01,2082.61,employed,contract,14787.2,123363.13,48,778,1,1,0,0.5719,2.5242,1,26390.89
55,83267.91,3792.92,employed,contract,8504.77,461584.97,12,757,0,0,0,0.567,5.5434,1,37470.56
69,5232.59,125.52,unemployed,freelance,366.97,14799.67,12,817,0,0,0,0.3019,2.8284,1,1865.84
59,28130.53,1255.94,retired,permanent,6763.96,146313.31,48,835,3,1,3,0.5839,5.2012,0,5011.6
23,67413.61,2921.53,employed,permanent,19026.89,227158.62,12,524,1,1,0,0.5765,3.3696,1,6067.22
21,42815.88,1325.22,employed,temporary,6760.82,94727.59,84,629,1,0,0,0.403,2.2124,1,12459.42
25,49266.54,2018.29,employed,permanent,771.98,146391.77,60,667,4,0,0,0.4947,2.9714,1,12316.64
61,65043.64,1355.17,employed,permanent,23642.18,184339.92,60,441,4,1,0,0.3227,2.8341,1,20758.03
23,47564.69,2283.62,self_employed,permanent,13903.1,91777.37,120,498,2,1,0,0.6346,1.9295,0,388.08
48,89517.14,3301.95,self_employed,permanent,9727.53,187360.54,48,335,1,1,0,0.4644,2.093,1,7250.89
37,62032.02,2414.69,employed,temporary,12328.59,94629.63,120,765,0,0,0,0.5069,1.5255,1,27914.41
45,77459.4,3115.36,employed,permanent,861.13,181874.91,24,737,2,1,0,0.4849,2.348,1,32532.95
63,87153.45,3242.68,employed,temporary,11827.87,342881.88,60,490,3,1,0,0.4736,3.9342,0,3200.88
53,22284.78,1021.14,retired,temporary,4657.83,58521.39,36,396,3,1,0,0.5917,2.6261,0,165.96
29,19697.3,760.64,part_time,permanent,4075.16,87018.29,36,803,2,1,2,0.5048,4.4178,0,1771.85
55,52575.2,2487.32,employed,permanent,4378.14,311685.76,24,666,2,0,1,0.5844,5.9284,0,1928.37
33,43315.06,1638.09,employed,permanent,13457.94,111495.39,60,449,2,1,1,0.516,2.5741,0,1639.29
50,47981.22,1239.09,retired,permanent,5735.91,146079.58,120,342,3,0,1,0.3338,3.0445,0,1460.23
67,29477.21,1399.55,part_time,contract,6843.55,41344.91,12,596,0,1,0,0.6162,1.4026,0,577.92
34,61643.4,2509.76,employed,contract,6695.02,163797.86,84,618,2,0,0,0.5103,2.6572,1,9246.51
27,64577.39,2662.38,employed,temporary,10982.49,290441.88,24,517,1,1,3,0.5287,4.4976,0,2066.47
33,38274.93,1897.54,employed,permanent,3177.04,64903.81,12,787,3,0,0,0.6115,1.6957,1,17223.72
42,77773.2,1790.85,self_employed,temporary,19692.42,116760.69,84,445,0,0,2,0.327,1.5013,0,7089.38
59,78523.78,2617.51,employed,temporary,13367.4,201810.97,36,627,4,1,0,0.4341,2.5701,1,18628.98
40,66560.52,1850.84,employed,permanent,429.11,332973.81,84,558,0,0,0,0.335,5.0026,1,16473.73
35,50204.11,1969.04,self_employed,temporary,565.6,197307.9,24,418,0,1,0,0.4729,3.9301,0,442.92
64,71715.15,3181.67,employed,permanent,13514.99,413558.79,60,441,1,1,0,0.5701,5.7667,0,2990.4
37,31375.07,1537.92,retired,temporary,2299.49,171777.64,36,589,5,1,0,0.6029,5.475,0,279.48
66,64968.03,2214.92,employed,contract,15203.61,86488.99,60,524,2,1,0,0.4559,1.3313,1,5847.12
43,61816.09,2705.36,employed,permanent,10093.13,45375.5,12,528,0,1,1,0.5578,0.734,0,1687.95
45,61211.63,2912.49,self_employed,contract,16023.24,164966.63,60,556,0,0,0,0.6233,2.695,1,4131.79
44,74538.29,3038.45,employed,permanent,28395.96,251301.16,84,544,0,1,0,0.5654,3.3714,0,2211.86
64,32329.15,902.4,part_time,permanent,6837.44,107838.35,24,475,0,1,0,0.3773,3.3356,1,4284.13
60,25495.19,983.16,self_employed,freelance,8029.75,31552.59,12,654,1,0,0,0.5257,1.2376,1,5736.42
48,86348.91,4241.77,employed,freelance,26009.71,102452.63,24,821,1,0,2,0.6497,1.1865,1,38857.01
34,6138.18,304.68,unemployed,permanent,2263.25,4651.11,84,438,2,1,0,0.6694,0.7577,0,221.48
64,73540.25,2909.9,employed,permanent,6295.57,380918.61,12,418,0,0,2,0.4919,5.1797,0,1643.14
20,31679.37,1479.55,part_time,permanent,10483.68,180971.34,120,558,3,0,2,0.6266,5.7126,0,215.18
44,60690.7,1619.04,employed,permanent,21982.67,68960.88,120,491,1,0,2,0.3926,1.1363,0,3606.14
26,104322.54,2922.14,self_employed,contract,16389.61,174445.34,24,429,1,0,0,0.3675,1.6722,1,18660.69
28,44769.09,2176.94,employed,freelance,5619.71,44511.48,36,457,2,1,0,0.6086,0.9942,1,4029.22
43,43754.21,1084.13,employed,temporary,16662.23,233046.38,120,560,0,1,0,0.3735,5.3263,1,9962.83
20,42326.44,1117.73,retired,permanent,10626.19,244346.22,24,689,0,0,2,0.3671,5.7729,0,4306.94
63,50195.29,1661.43,retired,temporary,7643.27,97372.9,36,823,0,1,1,0.4276,1.9399,1,27474.09
27,84083.44,3197.65,employed,permanent,26631.84,182436.77,84,431,2,0,0,0.5197,2.1697,0,1405.92
43,70405.73,2706.72,employed,freelance,8574.68,175640.0,48,707,0,1,0,0.4857,2.4947,1,29570.41
30,37443.1,1098.93,retired,contract,2642.1,122197.45,60,452,1,1,0,0.3663,3.2636,1,6307.74
36,19622.04,935.67,part_time,temporary,4269.52,83463.04,120,581,2,0,0,0.6157,4.2535,0,121.75
27,88900.02,4224.86,employed,permanent,20134.5,291071.84,12,345,1,0,0,0.6156,3.2741,0,1084.05
54,52583.26,1696.79,employed,permanent,17368.18,301328.83,60,598,1,0,1,0.4533,5.7305,0,520.76
54,75930.24,2543.68,employed,permanent,13880.88,79682.26,84,320,0,0,0,0.4386,1.0494,0,1822.39
52,37683.33,1557.18,retired,contract,12278.53,184359.3,36,464,3,1,1,0.561,4.8923,0,1158.43
24,68468.18,2750.42,employed,permanent,8526.28,160192.06,120,567,2,0,0,0.507,2.3397,0,884.88
61,56641.43,1811.6,employed,permanent,13035.87,145937.34,36,400,2,0,0,0.4298,2.5765,0,1412.59
58,11577.88,381.09,unemployed,permanent,965.47,50926.02,36,672,2,1,0,0.4117,4.3986,1,1226.79
60,66442.53,2058.69,employed,contract,10244.0,372847.18,24,332,2,1,1,0.4026,5.6116,0,5245.59
47,86578.32,2398.11,employed,permanent,29697.74,384330.19,60,535,1,1,0,0.401,4.4391,1,15428.26
26,35417.53,1211.13,employed,contract,3059.91,168843.62,120,497,2,1,0,0.4276,4.7672,1,4615.61
28,66496.88,2716.69,employed,freelance,21551.36,307833.06,36,806,4,1,0,0.5551,4.6293,1,35908.32
27,74445.28,3161.99,employed,freelance,8423.38,168647.02,48,631,2,1,0,0.5323,2.2654,0,3752.23
31,95782.62,4171.38,self_employed,permanent,1321.41,446645.6,84,744,3,1,0,0.5254,4.6631,1,36205.83
53,84773.73,2692.67,employed,permanent,3727.83,408174.0,36,785,1,0,0,0.39,4.8149,1,83925.99
52,25418.15,1096.42,self_employed,permanent,7583.55,87278.35,120,419,2,1,0,0.5773,3.4337,0,879.38
67,18012.22,378.68,retired,permanent,1888.19,62181.05,60,457,0,1,0,0.2732,3.4522,1,5147.32
42,5667.16,196.92,unemployed,permanent,1482.86,26513.61,36,336,1,1,0,0.4693,4.6785,0,154.25
43,36611.15,1610.48,employed,temporary,10239.39,182823.99,36,443,0,0,0,0.5838,4.9937,0,995.62
56,88599.29,3473.95,employed,permanent,12230.9,208613.67,12,327,1,1,0,0.4981,2.3546,1,7973.94
54,47213.58,1636.43,employed,contract,8969.05,231752.21,36,543,0,1,0,0.4539,4.9086,0,1091.48
63,60996.56,2417.62,employed,permanent,9851.36,303650.0,60,565,2,0,0,0.5079,4.9781,0,1930.62
59,38362.57,1814.01,employed,temporary,14537.1,68580.42,84,350,0,1,0,0.6432,1.7877,0,875.56
41,74594.6,2786.32,self_employed,contract,9546.58,331440.9,12,408,3,1,0,0.4738,4.4432,0,2183.87
46,55897.59,2468.46,employed,contract,4098.93,85296.18,12,697,1,0,1,0.5446,1.5259,1,13974.4
54,37456.3,1851.78,employed,freelance,5477.5,37897.17,36,634,4,0,0,0.6225,1.0118,0,2516.48
20,53431.83,2212.74,employed,contract,14309.38,195559.78,36,433,1,1,0,0.5505,3.66,0,1334.31
54,62186.42,2335.43,self_employed,freelance,17346.6,341875.26,48,379,3,0,1,0.5065,5.4976,0,1935.13
56,89445.68,1961.25,employed,permanent,33061.17,62166.95,120,637,0,1,1,0.337,0.695,1,52486.73
66,44749.16,1421.04,self_employed,temporary,15783.11,225793.48,120,731,1,0,1,0.4516,5.0458,0,2363.61
33,64962.88,2424.77,employed,permanent,7492.05,213441.5,60,780,2,1,0,0.471,3.2856,1,35079.96
22,54530.68,2404.0,retired,permanent,9928.14,285464.02,84,588,0,1,0,0.5654,5.2349,1,3435.43
20,47304.71,1589.98,retired,permanent,14139.74,243104.73,120,401,2,1,0,0.4631,5.1391,0,841.78
24,89635.21,4377.34,employed,permanent,32861.6,476328.45,60,630,0,0,1,0.6593,5.3141,0,2978.51
45,88256.41,2538.31,employed,permanent,11902.79,417347.51,24,675,1,1,0,0.3721,4.7288,1,67727.97
33,61924.67,2634.89,employed,permanent,11008.76,318073.46,84,530,0,0,1,0.5462,5.1365,0,1646.37
58,73300.67,2422.96,employed,permanent,26372.94,107615.55,24,750,0,1,0,0.4686,1.4681,1,39582.36
46,35492.1,1242.51,self_employed,freelance,5089.34,77060.17,60,620,0,0,0,0.4488,2.1712,1,4906.43
28,34322.51,1518.42,retired,permanent,6596.96,62936.29,36,723,3,1,0,0.5693,1.8337,1,10090.82
34,101856.76,3002.02,self_employed,contract,36851.94,466845.76,12,324,2,0,0,0.426,4.5834,0,1197.75
34,36697.41,868.15,retired,permanent,11776.1,49359.38,48,715,3,1,2,0.3481,1.345,1,32777.1
45,73648.45,2651.89,employed,freelance,7171.32,110638.59,36,601,4,0,0,0.4516,1.5023,1,11047.27
61,76016.32,2756.09,employed,freelance,9875.89,405494.31,84,399,1,1,2,0.4611,5.3343,0,1060.08
32,3041.63,134.09,unemployed,temporary,429.43,13329.49,84,687,1,1,1,0.5573,4.3824,0,164.12
51,83163.47,4081.33,employed,temporary,30362.6,441979.74,12,418,3,1,0,0.6619,5.3146,0,2937.32
58,68683.13,1541.68,self_employed,permanent,27443.96,86984.02,84,630,1,1,0,0.3493,1.2665,1,33535.77
68,46560.18,1773.52,employed,freelance,14415.11,125451.39,60,658,3,0,1,0.519,2.6944,0,3222.54
51,82597.87,3362.06,employed,contract,16001.73,169931.19,120,425,1,0,0,0.5272,2.0573,0,2183.68
23,21609.83,1071.54,part_time,freelance,87.94,11955.55,84,588,1,0,0,0.5958,0.5532,0,384.34
49,76267.18,3685.65,employed,temporary,21278.18,157482.29,36,739,0,1,2,0.6357,2.0649,0,15348.59
56,24604.76,1023.88,part_time,permanent,3832.06,63669.93,84,640,0,1,0,0.5305,2.5877,1,2657.31
42,20783.05,749.27,part_time,freelance,5262.16,20932.85,48,503,1,1,0,0.4833,1.0072,0,515.63
58,47965.43,1225.25,retired,permanent,11640.13,173427.72,120,478,1,1,0,0.3551,3.6157,0,4261.92
64,80524.64,2579.89,self_employed,temporary,15487.53,209963.94,84,645,0,0,1,0.4229,2.6074,0,7481.35
34,62103.4,2353.68,self_employed,permanent,23459.87,46921.55,120,404,0,0,0,0.5303,0.7555,0,2010.28
62,22055.12,925.98,retired,freelance,204.2,96422.42,24,612,1,1,0,0.5057,4.3719,0,409.66
48,84249.49,3316.55,employed,permanent,23998.72,380052.74,12,385,2,0,0,0.5294,4.511,0,3139.76
55,36950.83,1539.44,employed,permanent,6057.57,188064.68,36,740,3,0,1,0.5327,5.0896,1,12932.79
32,107002.8,3568.57,self_employed,temporary,30551.03,339249.52,48,779,3,1,2,0.4573,3.1705,1,52003.36
51,54797.88,2304.57,employed,contract,14800.24,319341.41,36,627,3,0,0,0.5587,5.8276,0,3054.07
26,70163.63,1755.9,employed,temporary,287.33,387819.14,60,550,2,1,2,0.3011,5.5274,0,9577.0
41,85720.98,2192.35,employed,permanent,9783.8,302803.7,12,781,2,0,0,0.3297,3.5324,1,131384.55
47,39412.13,1008.26,self_employed,permanent,2981.0,116156.83,60,303,4,0,1,0.3221,2.9472,0,4258.21
21,38977.17,1824.79,retired,contract,2603.46,20139.09,84,483,0,0,1,0.5752,0.5167,0,817.51
61,77043.81,1775.94,employed,freelance,22449.85,339799.41,60,599,0,1,0,0.3349,4.4105,1,22895.88
64,29424.43,1300.87,part_time,contract,2819.46,106141.27,84,827,0,1,0,0.5497,3.6072,0,1907.46
25,74935.03,2071.64,self_employed,permanent,14229.79,423869.46,24,455,3,0,2,0.3697,5.6565,0,3761.57
47,41115.36,1418.31,retired,freelance,4062.02,154934.05,60,733,1,0,0,0.4337,3.7683,0,3445.15
47,96965.06,4610.57,self_employed,permanent,22504.96,500000.0,48,656,1,1,0,0.617,5.1565,1,26180.57
63,10092.33,382.73,unemployed,temporary,2908.91,52439.81,12,827,3,1,0,0.5127,5.196,1,1089.97
63,76899.72,2073.35,employed,permanent,10183.82,441772.64,24,340,1,1,0,0.35,5.7448,1,20762.92
39,31098.18,905.56,retired,permanent,7501.14,71592.53,120,557,3,1,3,0.3977,2.3021,0,790.16
49,89819.95,4282.59,employed,contract,29635.37,118683.41,36,665,1,0,0,0.6381,1.3213,1,22454.99
30,34076.6,1134.47,retired,temporary,1284.34,166389.11,60,365,2,1,0,0.407,4.8828,1,3993.1
47,12562.69,476.8,part_time,permanent,3571.17,60603.47,36,507,2,1,0,0.5123,4.8241,0,89.68
44,54943.93,1881.72,employed,permanent,7101.94,91370.06,24,544,0,0,1,0.4368,1.663,1,5208.68
58,42028.06,1339.48,employed,permanent,2061.9,197788.07,36,542,0,1,1,0.3923,4.7061,0,2903.93
52,1457.31,39.85,unemployed,temporary,318.07,5393.29,48,680,0,1,0,0.3718,3.7009,1,500.0
20,50484.43,2062.15,employed,permanent,4569.09,55653.44,24,522,2,1,2,0.5083,1.1024,0,1337.22
46,19974.89,834.59,retired,permanent,6562.64,65114.34,12,320,0,1,0,0.5671,3.2598,0,477.29
32,72868.17,2102.31,employed,temporary,1250.3,409610.86,12,446,2,1,1,0.3496,5.6213,0,7738.89
60,39069.39,1713.04,employed,temporary,1541.72,128363.13,120,667,3,1,0,0.534,3.2855,1,11720.82
22,16675.66,763.03,part_time,contract,3475.18,80674.25,12,612,1,0,0,0.5908,4.8378,0,308.36
58,33825.47,1613.01,self_employed,temporary,7968.49,22291.15,12,615,2,1,0,0.6194,0.659,1,5479.73
25,20337.21,519.32,retired,freelance,5937.54,91607.9,24,702,0,1,0,0.3648,4.5044,1,16167.59
27,49726.34,1476.76,employed,freelance,5156.83,283818.34,24,747,5,1,0,0.3771,5.7076,1,51335.48
46,79330.4,3643.41,self_employed,contract,26710.88,257617.76,84,846,0,1,0,0.6185,3.2474,1,38554.57
28,116645.13,3105.57,self_employed,temporary,44471.76,274979.76,24,425,1,1,0,0.3957,2.3574,1,19709.06
56,108177.88,2264.65,self_employed,permanent,21594.01,438831.98,60,795,5,1,1,0.2911,4.0566,1,219656.05
52,108213.72,5002.99,self_employed,freelance,32919.97,500000.0,84,344,4,1,2,0.6156,4.6205,0,4217.85
61,41726.37,1266.59,self_employed,permanent,8760.01,61430.94,24,630,2,1,0,0.4062,1.4722,1,12681.14
63,49569.9,1631.98,employed,permanent,1377.39,134845.9,24,371,1,1,0,0.4006,2.7203,1,8869.05
43,39201.63,1327.03,employed,permanent,5113.64,53298.4,120,397,2,1,0,0.4323,1.3596,0,737.81
34,9341.62,425.74,unemployed,permanent,326.91,30188.36,24,570,1,1,1,0.5539,3.2316,0,240.09
51,38839.9,1191.94,employed,freelance,15363.19,134864.6,12,706,0,0,0,0.4474,3.4723,1,14300.85
51,77886.09,3649.6,self_employed,temporary,7135.17,443414.85,48,743,3,1,1,0.5806,5.6931,0,6340.0
43,48633.16,1888.3,employed,temporary,12370.34,134657.12,12,390,3,1,0,0.5168,2.7688,0,521.03
60,48127.34,1742.81,self_employed,temporary,5473.91,174137.3,84,416,1,1,0,0.4573,3.6183,1,3898.31
68,11888.7,360.59,unemployed,permanent,3106.5,63829.77,120,813,2,1,0,0.4162,5.3689,0,667.17
68,76622.89,2140.97,employed,permanent,6448.63,173759.83,48,342,0,1,0,0.3521,2.2677,1,20398.55
31,81031.66,3163.07,employed,temporary,25452.69,340973.23,120,370,0,0,0,0.5312,4.2079,0,2678.66
58,66459.05,2250.82,employed,contract,2945.77,309990.94,48,443,2,0,0,0.4153,4.6644,0,4157.3
21,107746.36,5106.11,self_employed,permanent,38579.68,249745.86,120,641,0,1,0,0.6403,2.3179,0,4761.13
22,41883.15,1473.15,retired,contract,14079.8,58798.77,48,406,4,1,0,0.4893,1.4039,1,2638.64
68,87039.55,3112.59,employed,permanent,23633.23,284271.39,120,685,3,1,0,0.4834,3.266,1,26111.86
56,3376.06,111.37,unemployed,permanent,91.04,8313.24,84,755,2,1,1,0.4013,2.4624,0,277.0
68,67742.58,2970.75,employed,permanent,5651.6,133150.98,84,593,5,0,0,0.5429,1.9655,0,1694.24
36,72957.22,2423.97,employed,permanent,25078.65,427078.23,12,475,0,1,1,0.4674,5.8538,0,884.56
68,21037.56,603.55,part_time,contract,1026.42,68621.19,60,406,4,0,0,0.354,3.2618,0,508.58
21,83383.94,3833.65,employed,contract,5200.89,434482.64,120,385,1,0,1,0.5642,5.2106,0,2360.25
21,88889.17,3399.2,employed,permanent,19342.4,139933.4,36,809,2,0,0,0.5024,1.5742,1,40000.13
47,62157.32,2367.31,employed,temporary,6816.85,352241.51,60,526,1,1,0,0.479,5.6669,0,1922.21
42,56485.24,2183.1,employed,contract,5017.6,275047.7,12,628,1,1,0,0.4816,4.8694,1,10167.34
56,60956.59,2547.95,employed,permanent,14039.85,301601.43,48,540,2,1,0,0.5477,4.9478,0,906.86
51,81900.52,2454.11,employed,permanent,12205.69,216520.96,36,301,1,0,0,0.3894,2.6437,1,13587.3
52,86319.5,1883.53,self_employed,freelance,4853.22,273719.43,60,550,1,0,1,0.2731,3.171,0,11185.13
20,37462.48,1666.17,employed,temporary,8014.78,140988.13,120,341,0,1,2,0.5765,3.7634,0,996.07
38,76506.14,1881.52,self_employed,freelance,11843.53,370573.59,84,725,2,0,2,0.3261,4.8437,0,20156.53
21,35951.51,1505.88,employed,permanent,10562.79,185862.55,120,380,2,1,0,0.5614,5.1698,0,499.47
63,77819.45,1808.07,employed,contract,3198.55,72313.66,84,787,0,0,0,0.287,0.9292,1,149179.89
45,56189.67,1785.7,self_employed,permanent,13948.82,307489.15,24,561,0,1,1,0.431,5.4723,0,1677.74
51,22856.17,518.19,part_time,permanent,3990.63,129279.79,84,694,0,1,2,0.307,5.6562,0,7216.27
25,78927.3,2846.48,employed,temporary,12819.75,296836.16,60,547,2,1,0,0.4653,3.7609,1,7103.46
51,19718.61,786.44,retired,permanent,1832.16,30112.85,12,629,2,0,0,0.4972,1.5271,0,902.26
23,40061.45,1034.93,self_employed,permanent,487.56,200358.59,36,847,3,0,1,0.3124,5.0013,1,60875.78
30,62806.24,1989.23,self_employed,permanent,21296.07,220904.11,24,397,2,1,0,0.4479,3.5172,1,5300.97
36,46842.89,2246.83,self_employed,permanent,6116.0,233960.58,120,444,1,1,1,0.6017,4.9946,0,1656.1
57,53584.58,1807.75,employed,contract,14598.39,266928.62,84,426,5,1,0,0.4593,4.9814,0,579.59
43,89899.61,3977.24,employed,permanent,34075.1,87832.93,84,603,3,1,1,0.6067,0.977,1,16181.93
24,103414.37,4951.09,self_employed,permanent,23371.25,396968.25,120,678,0,0,0,0.6197,3.8386,1,23268.23
53,83614.6,4118.17,employed,permanent,13282.91,263995.85,36,446,4,0,0,0.6228,3.1573,0,1582.91
25,33552.26,1578.11,part_time,permanent,3600.47,191370.59,36,380,2,0,0,0.5859,5.7037,0,362.42
41,53751.47,1617.43,employed,temporary,20082.49,114572.72,120,541,1,0,0,0.4358,2.1315,0,1843.71
30,51339.23,2510.92,employed,permanent,14006.92,83836.99,60,847,1,0,1,0.6415,1.633,1,23102.65
67,2808.75,125.07,unemployed,contract,747.44,15262.68,84,366,1,0,0,0.5876,5.434,0,114.43
35,80656.43,3649.78,employed,permanent,13748.96,106299.98,48,774,3,1,3,0.5771,1.3179,0,14221.41
52,89557.43,1905.41,self_employed,permanent,30272.16,382934.77,84,732,0,0,0,0.3229,4.2759,1,99921.91
28,47436.34,2308.5,self_employed,freelance,13541.6,101993.3,60,601,0,1,0,0.6411,2.1501,1,7684.69
25,20670.86,899.75,part_time,contract,2341.46,74893.66,24,674,1,0,2,0.545,3.6232,0,828.03
35,36748.34,1588.72,retired,permanent,8813.41,142921.9,12,377,0,1,1,0.5668,3.8892,0,413.11
